word,n,sent
good,914,1006
time,623,0
talk,336,352
wait,334,-459
thought,312,0
god,290,298
show,267,0
love,260,281
bad,259,-287
friend,251,264
kind,247,256
guess,231,0
long,230,0
money,208,237
wrong,195,-203
leave,184,-185
coming,179,0
pick,166,175
pretty,166,167
problem,166,-170
real,159,169
excuse,157,-165
job,150,160
eat,147,154
hell,144,-146
bye,139,0
watch,139,0
deal,137,140
baby,126,135
ill,123,-135
pay,123,125
sex,121,129
happy,120,125
dinner,119,123
father,119,0
tomorrow,118,0
crazy,117,-121
happen,114,0
wear,113,-120
buddy,111,114
ahead,109,115
start,106,0
food,104,109
stupid,104,-113
forget,102,-106
beautiful,101,104
hit,101,-106
break,99,0
doctor,99,108
building,97,99
change,97,0
hot,95,0
mother,95,0
found,94,94
fact,93,0
couch,92,0
hate,92,-104
laughing,92,99
working,90,96
store,89,97
lost,87,-88
question,81,84
ready,81,0
fun,78,82
machine,75,0
late,74,-77
word,74,75
giving,72,74
important,72,76
mouth,69,0
reading,67,69
top,67,68
worry,67,-69
hospital,66,0
broke,65,-66
kill,64,-67
smell,64,-72
sir,63,68
reason,62,62
full,61,63
shot,61,-65
standing,61,62
cold,60,-64
fight,60,-65
mail,60,0
sick,60,-62
true,60,61
soup,59,66
nervous,57,-58
smiling,56,56
terrible,56,-60
upset,55,-57
chicken,54,0
laugh,54,54
rest,54,55
cool,53,59
perfect,53,55
chance,52,0
completely,52,52
finally,52,55
gift,52,53
cab,51,59
clean,51,52
interested,51,51
mistake,50,-53
feeling,49,0
fire,49,0
calls,48,-48
case,48,-49
interesting,48,50
pull,48,50
excited,47,48
hope,47,49
hurt,47,-52
nose,46,0
cleaning,45,50
fault,45,-45
fat,44,-44
unbelievable,43,-46
school,42,0
surprise,42,43
afraid,41,-41
fake,41,-44
pop,41,-51
sense,41,41
trip,41,0
frank,40,41
airport,39,0
death,38,-39
idiot,38,-41
kiss,38,41
lose,38,-38
pig,38,-50
small,38,-39
toilet,38,-43
worried,38,-38
accident,37,-39
catch,37,0
damn,37,-38
uncomfortable,37,-39
visit,37,37
birthday,36,38
pilot,36,37
ridiculous,36,-36
shoulder,36,36
bite,35,-37
grab,35,-35
joke,35,-39
personal,35,0
glad,34,34
lucky,34,35
quiet,34,37
sweet,34,36
john,33,-36
lying,33,-34
police,33,36
weird,33,-33
engaged,32,34
killing,32,-34
lie,32,-34
mad,32,-33
art,31,32
bout,31,-33
die,31,-37
explain,31,31
flying,31,35
pretend,31,-32
stink,31,-35
tough,31,-31
truth,31,36
disappointed,30,-30
extra,30,32
fell,30,-31
horse,30,0
hungry,30,-32
plan,30,0
shopping,30,33
special,30,34
suddenly,30,0
wild,30,-31
wonderful,30,32
bother,29,-31
enjoy,29,30
joking,29,29
letter,29,0
rock,29,33
war,29,-31
blue,28,0
cover,28,0
hanging,28,-28
insane,28,-28
luck,28,29
noise,28,-30
offer,28,30
save,28,29
secret,28,0
smile,28,29
surprised,28,0
tired,28,-28
alarm,27,-28
apologize,27,27
beach,27,0
crying,27,-28
garbage,27,-34
massage,27,30
statue,27,29
angry,26,-26
breakfast,26,28
brother,26,26
clock,26,0
pool,26,27
ruined,26,-26
worse,26,-28
attention,25,26
board,25,0
cable,25,0
concerned,25,0
cream,25,27
terrific,25,0
words,25,-26
bank,24,0
broken,24,-24
cash,24,24
chocolate,24,27
count,24,24
familiar,24,25
forward,24,24
screaming,24,-24
team,24,0
animated,23,23
cancer,23,-27
frustrated,23,-23
funeral,23,0
honest,23,24
master,23,24
motion,23,0
neighbor,23,25
pain,23,-25
pressure,23,-24
trust,23,0
choice,22,22
disgusting,22,-22
exciting,22,25
fair,22,24
fall,22,-22
giant,22,0
green,22,23
impossible,22,-23
jerk,22,0
losing,22,-22
negative,22,-23
president,22,22
quit,22,-23
respect,22,22
responsible,22,24
shame,22,-23
star,22,22
staring,22,-22
stomach,22,0
sudden,22,0
sue,22,-23
writer,22,22
careful,21,21
clown,21,40
dance,21,21
shoot,21,-21
bottom,20,-20
delicious,20,21
difficult,20,0
dirty,20,-20
dying,20,-20
emergency,20,-21
gun,20,-21
jump,20,21
lawyer,20,-20
missing,20,-20
music,20,22
phony,20,-21
player,20,-20
present,20,22
shaking,20,-23
track,20,0
truck,20,0
worth,20,20
beauty,19,19
drinking,19,-19
embarrassing,19,-19
fixed,19,0
hurry,19,0
join,19,19
