word,n,sent
yeah,3278,3278
good,1006,3018
big,434,434
great,385,1155
nice,329,987
god,298,298
bad,287,-861
ha,283,566
love,281,843
kind,256,512
stop,231,-231
fine,222,444
wrong,203,-406
funny,198,792
care,185,370
leave,185,-185
problem,170,-340
pretty,167,167
excuse,165,-165
hell,146,-584
laughs,143,143
ill,135,-270
matter,131,131
happy,125,375
pay,125,-125
wow,125,500
crazy,121,-242
stupid,113,-226
forget,106,-106
beautiful,104,312
hate,104,-312
laughing,99,99
hard,92,-92
lost,88,-264
fun,82,328
important,76,152
free,72,72
trouble,72,-144
dead,71,-213
worry,69,-207
top,68,136
kill,67,-201
miss,67,-134
broke,66,-66
likes,66,132
fight,65,-65
cut,64,-64
easy,64,64
sick,62,-124
true,61,122
terrible,60,-180
cool,59,59
nervous,58,-116
fantastic,57,228
favor,57,114
upset,57,-114
smiling,56,112
perfect,55,165
laugh,54,54
drop,53,-53
fire,53,-106
gift,53,106
mistake,53,-106
chance,52,104
clean,52,104
hurt,52,-104
interested,51,102
interesting,50,100
feeling,49,49
hope,49,98
amazing,48,192
excited,48,144
confused,47,-94
huge,47,47
shocked,47,-94
stops,46,-46
unbelievable,46,-46
strange,45,-45
worst,45,-135
fake,44,-132
nuts,44,-132
problems,44,-88
killed,43,-129
fired,42,-84
afraid,41,-82
comfortable,41,82
idiot,41,-123
kiss,41,82
super,40,120
accident,39,-78
death,39,-78
joke,39,78
sarcastic,39,-78
straight,39,39
uncomfortable,39,-78
damn,38,-152
missed,38,-76
worried,38,-114
die,37,-111
annoyed,36,-72
ridiculous,36,-108
sweet,36,72
lucky,35,105
died,34,-102
glad,34,102
killing,34,-102
smart,34,34
smiles,34,68
mad,33,-99
weird,33,-66
poor,32,-64
pretend,32,-32
stopped,32,-32
win,32,128
wonderful,32,128
bother,31,-62
war,31,-62
won,31,93
disappointed,30,-60
dream,30,30
enjoy,30,60
scared,30,-60
clear,29,29
luck,29,87
save,29,58
smile,29,58
alarm,28,-56
block,28,-28
crying,28,-56
insane,28,-56
stuck,28,-56
tired,28,-56
worse,28,-84
apologize,27,-27
cancer,27,-27
angry,26,-78
embarrassed,26,-52
ruined,26,-52
awkward,25,-50
exciting,25,75
pain,25,-50
pleasure,25,75
stopping,25,-25
terrific,25,100
blind,24,-24
broken,24,-24
comedy,24,24
fair,24,48
funeral,24,-24
honest,24,48
interrupting,24,-48
jerk,24,-72
pressure,24,-24
responsible,24,48
screaming,24,-48
frustrated,23,-46
negative,23,-46
shame,23,-46
trust,23,23
disgusting,22,-66
fan,22,66
fresh,22,22
impressed,22,66
losing,22,-66
careful,21,42
curious,21,21
difficult,21,-21
emergency,21,-42
gun,21,-21
jokes,21,42
ruin,21,-42
shoot,21,-21
cleaner,20,40
dirty,20,-40
fit,20,20
lovely,20,60
missing,20,-40
positive,20,40
prison,20,-40
worth,20,40
admit,19,-19
calm,19,38
clears,19,19
embarrassing,19,-38
join,19,19
screwed,19,-38
share,19,19
silly,19,-19
congratulations,18,36
doubt,18,-18
loved,18,54
alive,17,17
helping,17,34
horrible,17,-51
pleased,17,51
proud,17,34
support,17,34
anti,16,-16
attack,16,-16
bitter,16,-32
bless,16,32
boring,16,-48
cry,16,-16
disturbed,16,-32
dump,16,-16
enjoying,16,32
hide,16,-16
invite,16,16
sad,16,-32
steal,16,-32
swear,16,-32
annoying,15,-30
awful,15,-45
blame,15,-30
cute,15,30
cutting,15,-15
empty,15,-15
fabulous,15,60
faking,15,-45
fear,15,-30
jealous,15,-30
loser,15,-45
natural,15,15
promised,15,15
rich,15,30
woo,15,45
accept,14,14
cancel,14,-14
dumb,14,-42
favorite,14,28
humor,14,28
interest,14,14
perfectly,14,42
reaches,14,14
saved,14,28
strong,14,28
ugly,14,-42
waste,14,-14
ass,13,-52
cares,13,26
giddy,13,-26
hated,13,-39
hoping,13,26
nervously,13,-26
offended,13,-26
pathetic,13,-26
risk,13,-26
scam,13,-26
spirit,13,13
strike,13,-13
warm,13,13
agreed,12,12
apology,12,-12
attracted,12,12
crap,12,-36
desperate,12,-36
grand,12,36
illegal,12,-36
liar,12,-36
opportunity,12,24
pardon,12,24
suspicious,12,-24
weak,12,-24
advantage,11,22
benefit,11,22
blocks,11,-11
crash,11,-22
dear,11,22
dick,11,-44
falling,11,-11
frantic,11,-11
guarantee,11,11
hug,11,22
hugs,11,22
irritated,11,-33
joy,11,33
merry,11,33
mess,11,-22
peace,11,22
pretending,11,-11
promise,11,11
screams,11,-22
